authors,title
James Ellroy,"The Black Dahlia (L.A. Quartet, #1)"
"Lewis Carroll, John Tenniel, Peter Glassman","Through the Looking-Glass, and What Alice Found There"
Jung Chang,Wild Swans: Three Daughters of China
P.D. Eastman,"Go, Dog. Go!"
"Laura Ingalls Wilder, Garth Williams","On the Banks of Plum Creek  (Little House, #4)"
Stephen King,"Finders Keepers (Bill Hodges Trilogy, #2)"
"Guillermo del Toro, Chuck Hogan","The Strain (The Strain Trilogy, #1)"
"Emily Dickinson, Thomas H. Johnson",The Complete Poems of Emily Dickinson
Fred Gipson,"Old Yeller (Old Yeller, #1)"
Steve Martin,Born Standing Up: A Comic's Life
Frank Warren,PostSecret: Extraordinary Confessions from Ordinary Lives (PostSecret)
George R.R. Martin,"A Storm of Swords: Blood and Gold (A Song of Ice and Fire, #3: Part 2 of 2)"
"Mary Norton, Beth Krush, Joe Krush","The Borrowers (The Borrowers, #1)"
Stephen King,Hearts in Atlantis
Jodi Picoult,Small Great Things
"Haruki Murakami, Alfred Birnbaum","A Wild Sheep Chase (The Rat, #3)"
Philippa Gregory,"The Queen's Fool (The Plantagenet and Tudor Novels, #12)"
Laini Taylor,"Days of Blood & Starlight (Daughter of Smoke & Bone, #2)"
Tom Robbins,Jitterbug Perfume
John Flanagan,"The Battle for Skandia (Ranger's Apprentice, #4)"
Alexandra Bracken,"The Darkest Minds (The Darkest Minds, #1)"
"Paulo Coelho, Margaret Jull Costa",The Zahir
Norman Vincent Peale,The Power of Positive Thinking
Ruth Ware,"In a Dark, Dark Wood"
"Edith Wharton, Nina Bawden",The House of Mirth
"Hiro Mashima, William Flanagan","Fairy Tail, Vol. 1 (Fairy Tail, #1)"
"Patrick Rothfuss, Nate  Taylor",The Slow Regard of Silent Things (The Kingkiller Chronicle #2.5)
Solomon Northup,Twelve Years a Slave
J.R. Ward,"Lover Mine (Black Dagger Brotherhood, #8)"
Nathaniel Philbrick,In the Heart of the Sea: The Tragedy of the Whaleship Essex
Ayaan Hirsi Ali,Infidel
Nassim Nicholas Taleb,The Black Swan: The Impact of the Highly Improbable
Justin Cronin,"The Twelve (The Passage, #2)"
"Aleksandr Solzhenitsyn, H.T. Willetts",One Day in the Life of Ivan Denisovich
Neal Stephenson,"The Diamond Age: or, A Young Lady's Illustrated Primer"
Walter M. Miller Jr.,A Canticle for Leibowitz
"Sophocles, J.E. Thomas","Antigone (The Theban Plays, #3)"
Colm Toibin,Brooklyn
Lauren DeStefano,"Wither (The Chemical Garden, #1)"
J.D. Vance,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis
Robert Jordan,"Crossroads of Twilight (Wheel of Time, #10)"
Stephen Crane,The Red Badge of Courage
Randall Munroe,What If?: Serious Scientific Answers to Absurd Hypothetical Questions
Steven Erikson,"Gardens of the Moon (The Malazan Book of the Fallen, #1)"
Paulo Coelho,The Witch Of Portobello
Madeleine L'Engle,"A Swiftly Tilting Planet (A Wrinkle in Time Quintet, #3)"
Suzanne Collins,"Gregor the Overlander (Underland Chronicles, #1)"
Jodi Picoult,Sing You Home
Anne Rice,"The Tale of the Body Thief (The Vampire Chronicles, #4)"
David Baldacci,"The Camel Club (Camel Club, #1)"
James Patterson,"Saving the World and Other Extreme Sports (Maximum Ride, #3)"
Terry Goodkind,"Blood of the Fold (Sword of Truth, #3)"
Philippa Gregory,"The Boleyn Inheritance (The Plantagenet and Tudor Novels, #10)"
Anne Tyler,A Spool of Blue Thread
Colson Whitehead,The Underground Railroad
Melissa de la Cruz,"Masquerade (Blue Bloods, #2)"
Julie Kagawa,"The Iron Queen (The Iron Fey, #3)"
Cora Carmack,"Losing It (Losing It, #1)"
John Grisham,The Racketeer
J.M. Coetzee,Disgrace
"A.A. Milne, Ernest H. Shepard","The House at Pooh Corner (Winnie-the-Pooh, #2)"
Brent Weeks,"The Black Prism (Lightbringer, #1)"
Sue Monk Kidd,The Mermaid Chair
Arnold Lobel,"Frog and Toad Are Friends (Frog and Toad, #1)"
"Lemony Snicket, Brett Helquist","The Carnivorous Carnival (A Series of Unfortunate Events, #9)"
Ally Carter,"Heist Society (Heist Society, #1)"
B.A. Paris,Behind Closed Doors
Michael Shaara,"The Killer Angels (The Civil War Trilogy, #2)"
Laurell K. Hamilton,"Circus of the Damned (Anita Blake, Vampire Hunter, #3)"
Jonathan Stroud,"Ptolemy's Gate (Bartimaeus, #3)"
H.G. Wells,The Island of Dr. Moreau
Jennifer L. Armentrout,"Opal (Lux, #3)"
Dave Eggers,Zeitoun
Sharon M. Draper,Out of My Mind
Lauren Kate,"Rapture (Fallen, #4)"
Amanda Hocking,"Switched (Trylle, #1)"
"Boris Pasternak, Max Hayward, Manya Harari, John Bayley",Doctor Zhivago
Colleen Hoover,Confess
Blake Crouch,"Pines (Wayward Pines, #1)"
Michael Crichton,Disclosure
P.D. James,Death Comes to Pemberley
Edith Wharton,Ethan Frome
"Jane Hamilton, Frank  Muller, C.J. Critt",A Map of the World
Colleen Hoover,It Ends with Us
"O. Henry, Lisbeth Zwerger",The Gift of the Magi
Tom Wolfe,The Electric Kool-Aid Acid Test
"William S. Burroughs, James Grauerholz, Barry  Miles",Naked Lunch
"Neil Gaiman, Kelley Jones, Charles Vess, Colleen Doran, Malcolm Jones III, Steve Erickson",Dream Country (The Sandman #3)
John Grisham,A Painted House
"John Green, Maureen Johnson, Lauren Myracle",Let It Snow: Three Holiday Romances
Stephen King,"Full Dark, No Stars"
Atul Gawande,Being Mortal: Medicine and What Matters in the End
Dean Koontz,Intensity
Chelsea Handler,Chelsea Chelsea Bang Bang
"Henrik Ibsen, Michael   Meyer",A Doll's House
James A. Michener,Hawaii
Richard Yates,Revolutionary Road
"Rachel Cohn, David Levithan",Nick & Norah's Infinite Playlist
"Tom Stoppard, Henry Popkin",Rosencrantz and Guildenstern Are Dead
Maggie Stiefvater,"Forever (The Wolves of Mercy Falls, #3)"
Alex Garland,The Beach
"Beth Hoffman, Jenna Lamia",Saving CeeCee Honeycutt
Charlaine Harris,"Deadlocked (Sookie Stackhouse, #12)"
Stephen King,Everything's Eventual: 14 Dark Tales
Beverly Cleary,"Beezus and Ramona (Ramona, #1)"
Ursula K. Le Guin,"The Farthest Shore (Earthsea Cycle, #3)"
Michael Crichton,Airframe
Raymond E. Feist,"Magician: Apprentice (The Riftwar Saga, #1)"
Jennifer Crusie,Bet Me
Nelson Mandela,Long Walk to Freedom
John Grisham,Gray Mountain
Bryce Courtenay,"The Power of One (The Power of One, #1)"
Dashiell Hammett,The Maltese Falcon
Kristin Hannah,Night Road
Lee Child,"Tripwire  (Jack Reacher, #3)"
Daniel Goleman,Emotional Intelligence: Why It Can Matter More Than IQ
Jim Butcher,"Changes (The Dresden Files, #12)"
"Munro Leaf, Robert Lawson",The Story of Ferdinand
Ellen Hopkins,"Impulse (Impulse, #1)"
Walter Scott,Ivanhoe
Janet Evanovich,"Ten Big Ones (Stephanie Plum, #10)"
Michael Connelly,"The Poet (Jack McEvoy, #1; Harry Bosch Universe, #5)"
Kiersten White,"Paranormalcy (Paranormalcy, #1)"
Mark Cotta Vaz,"Eclipse: The Complete Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #3)"
Adriana Trigiani,The Shoemaker's Wife
Brandon Mull,"Rise of the Evening Star (Fablehaven, #2)"
"Nora Roberts, MacLeod Andrews","The Next Always (Inn BoonsBoro, #1)"
"Haruki Murakami, Philip Gabriel",What I Talk About When I Talk About Running
Jenny Han,"We'll Always Have Summer (Summer, #3)"
"Andre Agassi, J.R. Moehringer",Open
Anthony Horowitz,"Stormbreaker (Alex Rider, #1)"
"Lee Child, Dick Hill","Without Fail (Jack Reacher, #6)"
"Francine Rivers, Richard Ferrone","A Voice in the Wind (Mark of the Lion, #1)"
Stephenie Meyer,"The Twilight Saga Complete Collection  (Twilight, #1-4 + 3.5)"
Philip K. Dick,A Scanner Darkly
Daniel H. Pink,Drive: The Surprising Truth About What Motivates Us
Mark Twain,A Connecticut Yankee in King Arthur's Court
"Jeph Loeb, Tim Sale, Gregory Wright, Richard Starkings",Batman: The Long Halloween
"Jean-Paul Sartre, Lloyd Alexander, Hayden Carruth",Nausea
John Eldredge,Wild at Heart: Discovering the Secret of a Man's Soul
Brandon Mull,"Secrets of the Dragon Sanctuary (Fablehaven, #4)"
Janet Evanovich,"Twelve Sharp (Stephanie Plum, #12)"
Hugh Howey,"Wool (Wool, #1)"
Ursula K. Le Guin,"The Tombs of Atuan (Earthsea Cycle, #2)"
Jim Butcher,"Turn Coat (The Dresden Files, #11)"
"Arthur Conan Doyle, Peter Ackroyd, Ed Glinert",The Sign of Four
Jan Brett,The Mitten
Anne Rice,"Memnoch the Devil (The Vampire Chronicles, #5)"
Michael Scott,"The Magician (The Secrets of the Immortal Nicholas Flamel, #2)"
"Doreen Cronin, Betsy Lewin","Click, Clack, Moo: Cows That Type"
Patricia Briggs,"Iron Kissed (Mercy Thompson, #3)"
Kendare Blake,"Anna Dressed in Blood (Anna, #1)"
"Terry Goodkind, Dick Hill","Temple of the Winds (Sword of Truth, #4)"
Avi,The True Confessions of Charlotte Doyle
Robert Goolrick,A Reliable Wife
Ray Bradbury,"Something Wicked This Way Comes (Green Town, #2)"
Toni Morrison,Song of Solomon
Tom Clancy,Red Storm Rising
Leif Enger,Peace Like a River
Chuck Palahniuk,Rant
Orson Scott Card,"Shadow of the Hegemon (Ender's Shadow, #2)"
"Janette Sebring Lowrey, Gustaf Tenggren",The Poky Little Puppy (A Little Golden Book)
Maeve Binchy,Tara Road
Jack London,The Call of the Wild/White Fang
Tahereh Mafi,"Ignite Me (Shatter Me, #3)"
Ally Carter,"Cross My Heart and Hope to Spy (Gallagher Girls, #2)"
Patricia Briggs,"Blood Bound (Mercy Thompson, #2)"
Jim Butcher,"Cold Days (The Dresden Files, #14)"
Kate Jacobs,"The Friday Night Knitting Club (Friday Night Knitting Club, #1)"
James Herriot,All Things Bright and Beautiful (All Creatures Great and Small)
David Foster Wallace,Infinite Jest
Emma Chase,"Tangled (Tangled, #1)"
John Wyndham,The Day of the Triffids
Shilpi Somaya Gowda,Secret Daughter
"Roald Dahl, Quentin Blake",Fantastic Mr. Fox
Virginia Woolf,A Room of One's Own
Brandon Sanderson,"Warbreaker (Warbreaker, #1)"
"William Shakespeare, Katherine Duncan-Jones",Shakespeare's Sonnets
Sarah Dessen,What Happened to Goodbye
Leigh Bardugo,"Six of Crows (Six of Crows, #1)"
Maureen Johnson,"13 Little Blue Envelopes (Little Blue Envelope, #1)"
"Ron Hall, Denver Moore, Lynn Vincent",Same Kind of Different as Me
Rainbow Rowell,Carry On
Tracy Kidder,"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, A Man Who Would Cure the World"
Jodi Ellen Malpas,"Beneath This Man (This Man, #2)"
Mark  Lawrence,"Prince of Thorns (The Broken Empire, #1)"
Jane Hamilton,The Book of Ruth
Kurt Vonnegut Jr.,Galapagos
Michael Crichton,Next
Nancy Farmer,"The House of the Scorpion (Matteo Alacran, #1)"
Walt Whitman,Leaves of Grass
Nora Roberts,"Blue Dahlia (In the Garden, #1)"
"D.H. Lawrence, Doris Lessing, Chester Brown",Lady Chatterley's Lover
Lev Grossman,"The Magician King (The Magicians, #2)"
Michael   Lewis,Liar's Poker
George S. Clason,The Richest Man in Babylon
Jodi Picoult,Salem Falls
"David Eddings, Leigh Eddings",Belgarath the Sorcerer
Frank Herbert,The Great Dune Trilogy  
"Elizabeth Strout, Goran Skrobonja",My Name Is Lucy Barton
Sarah Addison Allen,"Garden Spells (Waverley Family, #1)"
Jim Butcher,"Ghost Story (The Dresden Files,  #13)"
Frederick Douglass,Narrative of the Life of Frederick Douglass
"Greg Behrendt, Liz Tuccillo",He's Just Not That Into You: The No-Excuses Truth to Understanding Guys
David Eddings,"Pawn of Prophecy (The Belgariad, #1)"
Janet Evanovich,"Lean Mean Thirteen (Stephanie Plum, #13)"
"Rudyard Kipling, Alev Lytle Croutier",The Jungle Books
Rachel Caine,"Glass Houses (The Morganville Vampires, #1)"
"John Eldredge, Stasi Eldredge",Captivating: Unveiling the Mystery of a Woman's Soul
"Peter David, Robin Furth, Jae Lee, Richard Isanove, Stephen King",The Dark Tower: The Gunslinger Born
Kate Morton,The Lake House
Ruth Ozeki,A Tale for the Time Being
Tucker Max,"I Hope They Serve Beer in Hell (Tucker Max, #1)"
"Jay Crownover, Charlotte Connan de vries","Rule (Marked Men, #1)"
"Haruki Murakami, Philip Gabriel","South of the Border, West of the Sun"
Kurt Vonnegut Jr.,Mother Night
Robert B. Cialdini,Influence: The Psychology of Persuasion
"Edgar Allan Poe, Stephen Marlowe",The Fall of the House of Usher and Other Tales 
Louise Fitzhugh,Harriet the Spy (Harriet the Spy #1)
Sarah Waters,The Paying Guests
Dean Koontz,"Forever Odd (Odd Thomas, #2)"
Bill Bryson,At Home: A Short History of Private Life
Marian Keyes,Sushi for Beginners
Louise Penny,"Still Life (Chief Inspector Armand Gamache, #1)"
Marian Keyes,"Watermelon (Walsh Family, #1)"
Amy Tan,The Kitchen God's Wife
John Ajvide Lindqvist,Let the Right One In
Pittacus Lore,"The Rise of Nine (Lorien Legacies, #3)"
"Edgar Allan Poe, Benjamin F. Fisher",Essential Tales and Poems
Ann Brashares,"The Second Summer of the Sisterhood (Sisterhood, #2)"
Dean Koontz,Phantoms
Morgan Matson,Amy & Roger's Epic Detour
Oswald Chambers,My Utmost for His Highest
Terry Pratchett,"The Wee Free Men (Discworld, #30; Tiffany Aching, #1)"
Diana Gabaldon,"Written in My Own Heart's Blood (Outlander, #8)"
Andrea Cremer,Nightshade (Nightshade #1; Nightshade World #4)
"Lewis Carroll, John Tenniel",Alice's Adventures in Wonderland
Cornelia Funke,"Dragon Rider (Dragon Rider, #1)"
Douglas Adams,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)"
Naomi Novik,Uprooted
Neal Stephenson,Seveneves
Ernest Cline,Armada
Peter V. Brett,"The Desert Spear (Demon Cycle, #2)"
Agatha Christie,The Man in the Brown Suit
John Grisham,The Summons
Alfred Lansing,Endurance: Shackleton's Incredible Voyage
Meg Cabot,"Size 12 Is Not Fat (Heather Wells, #1)"
Blake Crouch,Dark Matter
Victoria Aveyard,"Glass Sword (Red Queen, #2)"
Rebecca Stead,When You Reach Me
Tom Wolfe,The Bonfire of the Vanities
Judy Blume,In the Unlikely Event
Agatha Christie,"Death on the Nile (Hercule Poirot, #17)"
Phyllis Reynolds Naylor,"Shiloh (Shiloh, #1)"
Leigh Bardugo,"Siege and Storm (Shadow and Bone, #2)"
"Jo Nesbu, Don Bartlett","The Redbreast (Harry Hole, #3)"
Scott Westerfeld,"Leviathan (Leviathan, #1)"
James Patterson,Hide and Seek
"Stephen Kendrick, Alex Kendrick",The Love Dare
Jennifer Weiner,Goodnight Nobody
Ben Sherwood,The Death and Life of Charlie St. Cloud
Dale Carnegie,How to Stop Worrying and Start Living
Nora Roberts,"Born in Fire (Born In Trilogy, #1)"
Barbara Kingsolver,Animal Dreams
Rebecca Donovan,"Reason to Breathe (Breathing, #1)"
Cassandra Clare,"The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass (The Mortal Instruments, #1-3)"
Sidney Sheldon,"If Tomorrow Comes (Tracy Whitney Series, #1)"
"M.C. Escher, Bruce Brooks Pfeiffer",M.C. Escher: The Graphic Work
Donna Woolfolk Cross,Pope Joan
Sebastian Faulks,Birdsong
Terry Goodkind,"Faith of the Fallen (Sword of Truth, #6)"
Brandon Mull,"Keys to the Demon Prison (Fablehaven, #5)"
Joshua Foer,Moonwalking with Einstein: The Art and Science of Remembering Everything
Sue Miller,While I Was Gone
"James Patterson, Maxine Paetro","4th of July (Women's Murder Club, #4)"
Eoin Colfer,"The Time Paradox (Artemis Fowl, #6)"
Norman Bridwell,Clifford the Big Red Dog
Kristin Cashore,"Bitterblue (Graceling Realm, #3)"
Jandy Nelson,The Sky Is Everywhere
Terry Pratchett,"Wyrd Sisters (Discworld, #6; Witches #2)"
Katy Evans,"Real (Real, #1)"
Joe Hill,NOS4A2
"Anne Bronte, Stevie Davies",The Tenant of Wildfell Hall
"Walter Farley, Keith Ward","The Black Stallion (The Black Stallion, #1)"
S.C. Stephens,"Reckless (Thoughtless, #3)"
"Lemony Snicket, Brett Helquist","The Grim Grotto (A Series of Unfortunate Events, #11)"
Tomie dePaola,Strega Nona
R.L. Mathewson,"Playing for Keeps (Neighbor from Hell, #1)"
"David Bayles, Ted Orland",Art and Fear: Observations on the Perils (and Rewards) of Artmaking
Hayden Herrera,Frida: A Biography of Frida Kahlo
Kelley Armstrong,"Bitten (Women of the Otherworld, #1)"
C.C. Hunter,"Born at Midnight (Shadow Falls, #1)"
Mo Willems,Don't Let the Pigeon Drive the Bus!
Maggie Stiefvater,"The Dream Thieves (The Raven Cycle, #2)"
"Henry James, Patricia Crick",The Portrait of a Lady
"Edgar Allan Poe, Gustave Dore",The Raven
Charlotte Perkins Gilman,The Yellow Wallpaper and Other Stories
Noah Hawley,Before the Fall
Bill Watterson,The Calvin and Hobbes Tenth Anniversary Book
Sarah Dessen,Dreamland
B.A. Shapiro,The Art Forger
Shannon Hale,"Austenland (Austenland, #1)"
Chimamanda Ngozi Adichie,Half of a Yellow Sun
Chetan Bhagat,One Night at the Call Center
Sara Gruen,At the Water's Edge
"Richard Bachman, Stephen King",The Running Man
Marilynne Robinson,"Gilead (Gilead, #1)"
Thomas Pynchon,The Crying of Lot 49
Ken Follett,"Edge of Eternity (The Century Trilogy, #3)"
Rachel Hawkins,"Demonglass (Hex Hall, #2)"
Terry Brooks,"The Sword of Shannara (The Original Shannara Trilogy, #1)"
Thomas Harris,"Hannibal (Hannibal Lecter, #3)"
L.J. Smith,"The Awakening / The Struggle (The Vampire Diaries, #1-2)"
Liane Moriarty,Three Wishes
L.J. Smith,"Night World, No. 3 (Night World, #7-9)"
Ann-Marie MacDonald,Fall on Your Knees
Maggie Stiefvater,The Scorpio Races
Pierce Brown,"Morning Star (Red Rising, #3)"
Brian Jacques,"Mossflower (Redwall, #2)"
Jenny  Lawson,Furiously Happy: A Funny Book About Horrible Things
Janet Evanovich,"Visions of Sugar Plums (Stephanie Plum, #8.5)"
Raymond E. Feist,"Magician: Master (The Riftwar Saga, #2)"
Tracey Garvis-Graves,"On the Island (On the Island, #1)"
Lisa Genova,Left Neglected
"Miep Gies, Alison Leslie Gold",Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family
John Scalzi,Redshirts
Jeaniene Frost,"One Foot in the Grave (Night Huntress, #2)"
Liane Moriarty,The Last Anniversary
Michael  Grant,"Hunger (Gone, #2)"
Janet Evanovich,"Fearless Fourteen (Stephanie Plum, #14)"
Chetan Bhagat,"Revolution 2020: Love, Corruption, Ambition"
"Michael Bond, Peggy Fortnum","A Bear Called Paddington (Paddington, #1)"
Sara Shepard,"Flawless (Pretty Little Liars, #2)"
Beverly Cleary,"Ramona Quimby, Age 8 (Ramona, #6)"
Nelson DeMille,The General's Daughter
"Lemony Snicket, Brett Helquist","The Hostile Hospital (A Series of Unfortunate Events, #8)"
Rumiko Takahashi,"InuYasha: Turning Back Time (InuYasha, #1)"
David Seltzer,The Omen
Alyson Noel,"Blue Moon (The Immortals, #2)"
David Baldacci,"The Innocent (Will Robie, #1)"
Tom Rob Smith,"Child 44 (Leo Demidov, #1)"
Nancy E. Turner,"These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories (Sarah Agnes Prine, #1)"
Liane Moriarty,The Hypnotist's Love Story
"Paulo Coelho, Amanda Hopkinson, Nick Caistor","The Devil and Miss Prym (On the Seventh Day, #3)"
"Audrey Penn, Ruth E. Harper, Nancy M. Leak",The Kissing Hand
Hugh Howey,"Shift (Silo, #2)"
Lee Child,"Worth Dying For (Jack Reacher, #15)"
John Elder Robison,Look Me in the Eye: My Life with Asperger's
Sherrilyn Kenyon,Fantasy Lover (Dark-Hunterverse #1)
"James Patterson, Gabrielle Charbonnet",Sundays at Tiffany's
Jodi Picoult,Perfect Match
Curtis Sittenfeld,Prep
"Anthony Kiedis, Larry Sloman",Scar Tissue
Sylvia Day,"Captivated by You (Crossfire, #4)"
Richard Bach,Illusions: The Adventures of a Reluctant Messiah
Gail Carriger,"Soulless (Parasol Protectorate, #1)"
Gayle Forman,"Just One Day (Just One Day, #1)"
Lisa McMann,"Wake (Wake, #1)"
Siddhartha Mukherjee,The Emperor of All Maladies: A Biography of Cancer
Ellen Hopkins,"Glass (Crank, #2)"
"Gabriel Garcia Marquez, Edith Grossman",Memories of My Melancholy Whores
Jeffrey Archer,"Only Time Will Tell (The Clifton Chronicles, #1)"
Deepak Chopra,The Seven Spiritual Laws of Success: A Practical Guide to the Fulfillment of Your Dreams
Augusten Burroughs,Magical Thinking: True Stories
Tamora Pierce,"In the Hand of the Goddess (Song of the Lioness, #2)"
"James Patterson, Andrew Gross","3rd Degree (Women's Murder Club, #3)"
Anne Lamott,Bird by Bird: Some Instructions on Writing and Life
"Kerstin Gier, Anthea Bell","Ruby Red (Precious Stone Trilogy, #1)"
Alyson Noel,"Shadowland (The Immortals, #3)"
Timothy Zahn,Heir to the Empire (Star Wars: The Thrawn Trilogy #1)
Tamora Pierce,"Lioness Rampant (Song of the Lioness, #4)"
Robin Cook,"Outbreak (Dr. Marissa Blumenthal, #1)"
Louise L. Hay,You Can Heal Your Life
Emma Straub,The Vacationers
"Oliver Patzsch, Lee Chadeayne","The Hangman's Daughter (The Hangman's Daughter, #1)"
Richard Matheson,I Am Legend
Lee Child,"Running Blind (Jack Reacher, #4)"
John Sandford,"Rules of Prey (Lucas Davenport, #1)"
Tami Hoag,"Ashes to Ashes (Kovac and Liska, #1)"
Michael Chabon,The Yiddish Policemen's Union
Melanie Benjamin,The Aviator's Wife
David Shannon,A Bad Case of Stripes
Lee Child,"The Affair (Jack Reacher, #16)"
"William Strunk Jr., E.B. White",The Elements of Style
Henry James,The Turn of the Screw
Jennifer Weiner,Best Friends Forever
R.A. Salvatore,"Homeland (Forgotten Realms: The Dark Elf Trilogy, #1; Legend of Drizzt, #1)"
"Larry Niven, Jerry Pournelle",The Mote in God's Eye
"Jo Nesbu, Don Bartlett","The Snowman (Harry Hole, #7)"
"John  Williams, John McGahern",Stoner
"David Cote, Stephen Schwartz, Joan Marcus, Winnie Holzman",Wicked: The Grimmerie
William Shakespeare,As You Like It
"Garth Ennis, Steve Dillon, Joe R. Lansdale","Preacher, Volume 1: Gone to Texas"
"Edmond Rostand, Eteel Lawson, Lowell Bair",Cyrano de Bergerac
Anne Fadiman,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures"
Patricia Briggs,"Bone Crossed (Mercy Thompson, #4)"
Richelle Mead,"The Indigo Spell (Bloodlines, #3)"
Karen Marie Moning,"Dreamfever (Fever, #4)"
Kate Atkinson,Case Histories (Jackson Brodie #1)
J. Kenner,"Release Me (Stark Trilogy, #1)"
Sophie Kinsella,Wedding Night
"Neil Gaiman, Steve Parkhouse, Chris Bachalo, Michael Zulli, Mike Dringenberg, Malcolm Jones III, Todd Klein, Clive Barker",The Doll's House (The Sandman #2)
Eleanor H. Porter,"Pollyanna (Pollyanna, #1)"
Dave Pelzer,The Lost Boy (Dave Pelzer #2)
Hugh Howey,"Dust (Silo, #3)"
Jodi Picoult,Lone Wolf
Stephen King,Nightmares and Dreamscapes
Karen Marie Moning,"Shadowfever (Fever, #5)"
John Grisham,The Associate
Lois Lowry,"Son (The Giver, #4)"
"Neil Gaiman, J.H. Williams III, Dave Stewart, Todd Klein",The Sandman: Overture
Anthony  Ryan,"Blood Song (Raven's Shadow, #1)"
Simone Elkeles,"Rules of Attraction (Perfect Chemistry, #2)"
Howard Pyle,The Merry Adventures of Robin Hood
Bret Easton Ellis,Less Than Zero
Lawrence Hill,Someone Knows My Name
"Anonymous, Richard Francis Burton, A.S. Byatt",The Arabian Nights
Tana French,"Faithful Place (Dublin Murder Squad, #3)"
Lily King,Euphoria
Marian Keyes,"Rachel's Holiday (Walsh Family, #2)"
Isaac Asimov,The Caves of Steel (Robot #1)
Haruki Murakami,"Dance Dance Dance (The Rat, #4)"
"Beverly Cleary, Louis Darling, Tracy Dockray","The Mouse and the Motorcycle (Ralph S. Mouse, #1)"
Carrie Ryan,"The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)"
Terry Brooks,"The Elfstones of Shannara  (The Original Shannara Trilogy, #2)"
"Rachel Cohn, David Levithan","Dash & Lily's Book of Dares (Dash & Lily, #1)"
Eleanor Catton,The Luminaries
"Laura Joffe Numeroff, Felicia Bond",If You Give a Moose a Muffin
Dean Koontz,Velocity
David Sedaris,Barrel Fever: Stories and Essays
Terry Pratchett,"Reaper Man (Discworld, #11; Death, #2)"
Frank E. Peretti,"Piercing the Darkness (Darkness, #2)"
"Chip Heath, Dan Heath",Made to Stick: Why Some Ideas Survive and Others Die
Piers Paul Read,Alive: The Story of the Andes Survivors
Zadie Smith,On Beauty
Joyce Meyer,Battlefield of the Mind: Winning the Battle in Your Mind
Nora Roberts,"Dance Upon the Air (Three Sisters Island, #1)"
David Eddings,"Castle of Wizardry (The Belgariad, #4)"
J.R. Ward,"Lover Unleashed (Black Dagger Brotherhood, #9)"
Richard Castle,"Heat Wave (Nikki Heat, #1)"
Amazon,Kindle Paperwhite User's Guide
John Irving,A Widow for One Year
C.S. Lewis,"Out of the Silent Planet (Space Trilogy, #1)"
"Roald Dahl, Quentin Blake","Charlie and the Great Glass Elevator (Charlie Bucket, #2)"
"Laura Joffe Numeroff, Felicia Bond",If You Give a Pig a Pancake 
Iain Banks,The Wasp Factory
Marisha Pessl,Night Film
Rob Lowe,Stories I Only Tell My Friends
Kevin Kwan,Crazy Rich Asians (Crazy Rich Asians #1)
Libba Bray,"Rebel Angels (Gemma Doyle, #2)"
Karen Marie Moning,"Bloodfever (Fever, #2)"
Karen Marie Moning,"Faefever (Fever, #3)"
Robert Dugoni,My Sister's Grave (Tracy Crosswhite #1)
Ransom Riggs,"Library of Souls (Miss Peregrine's Peculiar Children, #3)"
E.M. Forster,Howards End
"Mike Mignola, John Byrne","Hellboy, Vol. 1: Seed of Destruction (Hellboy, #1)"
Michelle Hodkin,"The Evolution of Mara Dyer (Mara Dyer, #2)"
Rick Riordan,"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)"
"Alexandre Dumas, Francine du Plessix Gray, Joachim Neugroschel","The Man in the Iron Mask (The D'Artagnan Romances, #3.3)"
"Shirley Jackson, Laura   Miller",The Haunting of Hill House
Hunter S. Thompson,The Rum Diary
"Laura Ingalls Wilder, Garth Williams","Little Town on the Prairie  (Little House, #7)"
Dodie Smith,I Capture the Castle
"P.C. Cast, Kristin Cast","Destined (House of Night, #9)"
Janet Evanovich,"Finger Lickin' Fifteen (Stephanie Plum, #15)"
Charles Bukowski,Women
John Jakes,"North and South (North and South, #1)"
Patricia Briggs,"Silver Borne (Mercy Thompson, #5)"
Robert Ludlum,"The Bourne Ultimatum (Jason Bourne, #3)"
Robin Hobb,"Fool's Errand (Tawny Man, #1)"
Marie Lu,"The Young Elites (The Young Elites, #1)"
Nora Roberts,"Jewels of the Sun (Gallaghers of Ardmore, #1)"
"Marcus Aurelius, Martin Hammond, Diskin Clay",Meditations
"Dave Barry, Ridley Pearson, Greg Call","Peter and the Starcatchers (Peter and the Starcatchers, #1)"
Jared Diamond,Collapse: How Societies Choose to Fail or Succeed
A.S. Byatt,Possession
Melissa de la Cruz,"Revelations (Blue Bloods, #3)"
Tom Clancy,"Without Remorse (Jack Ryan Universe, #1)"
Sigmund Freud,The Interpretation of Dreams
Peter Straub,Ghost Story
"Lemony Snicket, Brett Helquist","The Penultimate Peril (A Series of Unfortunate Events, #12)"
